iter	MAPE	RMSE	R2	MAE
190	0.2891536331	504996.8174	0.9223759152	226858.2131
191	0.2892742447	504914.6668	0.9224011682	226867.0254
192	0.2880105698	504553.0865	0.9225122689	226647.649
193	0.2879816135	503975.5405	0.9226895628	226593.6755
194	0.287778223	502659.8996	0.9230926777	226358.6342
195	0.2865044206	501976.253	0.9233017323	226052.2411
196	0.2865959226	501906.8008	0.9233229544	226061.5503
197	0.2865260542	500910.2613	0.9236271377	225720.2577
198	0.2854611002	500319.9317	0.9238070446	225308.0031
199	0.2852915296	499938.4976	0.9239231763	225273.2694
200	0.2846220075	498930.9921	0.9242294963	224894.5161
201	0.2846388109	498139.6072	0.9244696741	224742.5651
202	0.2833075707	497430.9323	0.9246844267	224455.6173
203	0.2833478599	497014.9038	0.924810355	224433.4523
204	0.2833140508	496460.6085	0.9249779718	224383.2909
205	0.2831642458	496173.7112	0.925064655	224348.4251
206	0.2830208944	495036.2424	0.9254078369	224146.4407
207	0.2818449593	494458.6284	0.9255818054	223917.2189
208	0.281175273	493602.9155	0.9258391595	223529.2835
209	0.2805573122	492728.6496	0.9261016332	223268.5085
210	0.2792479799	492483.0104	0.9261752957	223076.1178
211	0.2792919006	492225.6837	0.9262524236	223063.9688
212	0.2775758552	491704.9607	0.9264083755	222419.7706
213	0.2776033965	491596.4846	0.9264408423	222419.3917
214	0.2765608594	491136.3675	0.9265784755	222263.2204
215	0.2754841104	490687.869	0.9267125091	222114.4964
216	0.2755409503	490621.7419	0.9267322609	222116.9969
217	0.2750774104	490125.0389	0.9268805376	221772.5883
218	0.2747778805	489849.4137	0.9269627529	221703.2389
219	0.2744283559	489387.8535	0.9271003266	221423.5422
220	0.274420523	489146.4944	0.927172215	221381.0002
221	0.2744351981	489054.5416	0.9271995937	221380.6385
222	0.2742288067	487886.0043	0.9275470738	221146.2439
223	0.2742294949	487646.9742	0.9276180502	221120.8492
224	0.27422967	487358.8952	0.9277035446	221096.195
225	0.2742212913	487302.0212	0.9277204174	221093.4391
226	0.2740655438	486124.7307	0.9280692412	220654.6153
227	0.2740586277	485403.2345	0.9282825991	220478.725
228	0.2739227823	484823.2149	0.9284538902	220264.3345
229	0.2724604165	484430.0521	0.9285698825	219808.9057
230	0.2724437505	484376.7253	0.9285856079	219798.8546
231	0.2724444704	483905.4904	0.9287244939	219714.7493
232	0.2711584606	483373.1016	0.9288812411	219194.4261
233	0.270948464	482761.4856	0.9290611015	218851.4122
234	0.2703991932	482410.5639	0.9291641957	218700.292
235	0.2703780984	481915.3362	0.9293095567	218656.6411
236	0.2703632365	481843.4465	0.9293306456	218651.8161
237	0.2703302078	481381.4889	0.9294660863	218610.4695
238	0.2696213714	480862.9545	0.9296179599	218294.7243
239	0.2693994051	480315.0597	0.9297782549	217949.2785
240	0.2692214033	479276.7748	0.9300815199	217748.0313
241	0.2689316845	478687.5937	0.9302533177	217611.4342
242	0.2678840778	478454.835	0.9303211289	217449.1556
243	0.2674202046	477415.8496	0.9306234217	217185.696
244	0.2670536604	476424.9753	0.9309111044	216777.3845
245	0.2667900658	475703.051	0.9311203258	216638.6738
246	0.2657464851	475275.714	0.9312440232	216321.7475
247	0.2650863337	474900.0929	0.9313526591	216096.0014
248	0.2644018728	474548.2588	0.9314543374	215668.6914
249	0.2642711233	474456.2459	0.9314809163	215641.9182
250	0.2642993072	474038.9179	0.9316014009	215558.8014
251	0.2642885511	473808.1499	0.9316679793	215549.9655
252	0.2639999504	472954.6038	0.9319139522	215239.7091
253	0.2636152174	472223.3792	0.9321243221	214782.1845
254	0.2635501848	471974.5264	0.9321958417	214763.7644
255	0.2632490365	471087.9259	0.9324503416	214588.7017
256	0.2629578476	470407.0499	0.9326454632	214447.4144
257	0.2625348586	469518.4025	0.9328997021	214220.7161
258	0.262092253	469249.9414	0.9329764134	214158.7077
259	0.26177902	468270.7899	0.9332558285	213779.648
260	0.2608153761	467716.1059	0.9334138567	213418.7938
261	0.2607814635	467659.4725	0.9334299809	213409.7431
262	0.2604665916	467261.8274	0.9335431401	213274.8867
263	0.2604874697	467073.9499	0.9335965716	213249.9337
264	0.2605096725	466925.1587	0.9336388718	213217.2092
265	0.2605231479	466880.6042	0.9336515357	213215.6576
266	0.260268713	466137.0122	0.9338627113	212980.9315
